A,B,column1
Sine,Inverse_trigonometric_functions,0
Diameter,Pythagorean_theorem,0
Line_(geometry),Bisection,0
Polygon,Acute_and_obtuse_triangles,0
Parallelogram,Vertex_(geometry),1
Polygon,Edge_(geometry),1
Parallel_(geometry),Prism_(geometry),0
Bisection,Angle,1
Similarity_(geometry),Geometry,1
Edge_(geometry),Nonagon,0
